player_id,team_name,season,games_batting_ninth,avg_avg,avg_obp,avg_slg,avg_ops,total_rbi,total_runs
680757,Cleveland Guardians,2023,49,0.266,0.35,0.396,0.746,11.0,31.0
595777,San Diego Padres,2022,39,0.253,0.317,0.333,0.65,5.0,18.0
643289,Houston Astros,2023,37,0.271,0.286,0.396,0.682,17.0,20.0
608070,Cleveland Guardians,2021,35,0.299,0.373,0.642,1.015,26.0,31.0
624428,Seattle Mariners,2022,35,0.221,0.271,0.298,0.569,14.0,17.0
671739,Atlanta Braves,2023,34,0.25,0.278,0.461,0.739,10.0,17.0
571657,Cincinnati Reds,2021,33,0.217,0.252,0.34,0.592,11.0,9.0
605141,Los Angeles Dodgers,2023,33,0.276,0.378,0.512,0.89,22.0,27.0
642708,Cleveland Guardians,2022,33,0.301,0.326,0.429,0.755,18.0,18.0
641487,Seattle Mariners,2022,32,0.259,0.348,0.362,0.711,7.0,10.0
665120,Los Angeles Angels,2021,30,0.208,0.282,0.443,0.725,21.0,15.0
666182,Toronto Blue Jays,2021,30,0.309,0.341,0.455,0.796,12.0,18.0
666969,Texas Rangers,2021,30,0.161,0.197,0.304,0.5,19.0,9.0
670541,Houston Astros,2022,30,0.389,0.444,0.832,1.275,35.0,25.0
682928,Washington Nationals,2023,30,0.234,0.274,0.414,0.688,10.0,14.0
621043,Houston Astros,2021,29,0.353,0.441,0.686,1.127,21.0,25.0
664238,Seattle Mariners,2021,29,0.227,0.341,0.507,0.848,13.0,12.0
677594,Seattle Mariners,2023,29,0.197,0.24,0.393,0.634,12.0,13.0
678662,Colorado Rockies,2023,29,0.277,0.296,0.509,0.805,15.0,15.0
680977,St. Louis Cardinals,2023,29,0.282,0.352,0.4,0.752,11.0,15.0
592450,New York Yankees,2022,28,0.425,0.52,0.877,1.397,31.0,30.0
607043,New York Mets,2023,28,0.21,0.336,0.36,0.696,7.0,11.0
646240,Boston Red Sox,2023,28,0.245,0.35,0.415,0.765,18.0,16.0
656582,Pittsburgh Pirates,2023,28,0.276,0.36,0.487,0.847,3.0,8.0
666915,Boston Red Sox,2021,28,0.26,0.29,0.531,0.821,21.0,8.0
677951,Kansas City Royals,2023,28,0.286,0.309,0.605,0.914,23.0,20.0
679529,Detroit Tigers,2023,28,0.309,0.372,0.627,0.999,22.0,18.0
592450,New York Yankees,2021,27,0.398,0.475,0.641,1.115,19.0,21.0
593934,Minnesota Twins,2021,27,0.211,0.324,0.489,0.813,19.0,12.0
621043,Minnesota Twins,2023,27,0.235,0.316,0.451,0.767,15.0,14.0
621566,Atlanta Braves,2022,27,0.27,0.365,0.54,0.905,19.0,20.0
623205,Los Angeles Angels,2022,27,0.212,0.276,0.287,0.563,8.0,10.0
650402,New York Yankees,2021,27,0.247,0.34,0.387,0.727,10.0,14.0
669720,Baltimore Orioles,2022,27,0.29,0.333,0.452,0.785,9.0,12.0
670541,Houston Astros,2021,27,0.293,0.369,0.495,0.864,13.0,20.0
673490,San Diego Padres,2023,27,0.202,0.313,0.253,0.566,7.0,13.0
571448,St. Louis Cardinals,2021,26,0.234,0.308,0.521,0.829,19.0,16.0
605141,Los Angeles Dodgers,2022,26,0.284,0.322,0.578,0.9,16.0,22.0
621566,Athletics,2021,26,0.234,0.308,0.404,0.712,11.0,15.0
624413,New York Mets,2023,26,0.19,0.277,0.39,0.667,15.0,14.0
665019,Minnesota Twins,2026,26,0.244,0.284,0.478,0.762,11.0,11.0
669720,Baltimore Orioles,2023,26,0.255,0.291,0.388,0.679,11.0,10.0
670623,Tampa Bay Rays,2023,26,0.278,0.337,0.5,0.837,15.0,11.0
673490,San Diego Padres,2022,26,0.161,0.235,0.247,0.483,7.0,9.0
673548,Chicago Cubs,2023,26,0.305,0.383,0.484,0.867,16.0,14.0
677951,Kansas City Royals,2022,26,0.229,0.27,0.39,0.661,9.0,11.0
596019,New York Mets,2022,25,0.271,0.352,0.448,0.8,20.0,23.0
645277,Atlanta Braves,2023,25,0.294,0.345,0.51,0.855,13.0,13.0
647304,Cleveland Guardians,2023,25,0.299,0.371,0.517,0.888,17.0,12.0
663757,San Diego Padres,2022,25,0.162,0.305,0.456,0.761,11.0,10.0
664040,Tampa Bay Rays,2021,25,0.247,0.314,0.559,0.873,20.0,16.0
669256,Texas Rangers,2021,25,0.198,0.223,0.308,0.531,8.0,13.0
669257,Los Angeles Dodgers,2022,25,0.25,0.303,0.489,0.792,16.0,10.0
683011,New York Yankees,2023,25,0.187,0.221,0.308,0.529,3.0,8.0
527038,San Francisco Giants,2021,24,0.25,0.286,0.433,0.719,8.0,4.0
593160,Kansas City Royals,2021,24,0.354,0.38,0.563,0.943,18.0,16.0
607208,Philadelphia Phillies,2023,24,0.304,0.366,0.657,1.023,24.0,26.0
621566,Atlanta Braves,2023,24,0.271,0.392,0.588,0.98,18.0,17.0
623993,Baltimore Orioles,2022,24,0.22,0.276,0.319,0.594,6.0,10.0
656305,Toronto Blue Jays,2023,24,0.143,0.242,0.262,0.504,4.0,9.0
656775,Baltimore Orioles,2023,24,0.165,0.25,0.266,0.516,10.0,6.0
