team_name,season,games_batting_ninth,avg_avg,avg_obp,avg_slg,avg_ops,total_rbi,total_runs
Athletics,2026,78,0.264,0.365,0.521,0.886,40.0,42.0
San Diego Padres,2026,46,0.252,0.327,0.51,0.837,22.0,23.0
Washington Nationals,2026,85,0.265,0.351,0.473,0.824,44.0,47.0
New York Yankees,2026,54,0.227,0.34,0.475,0.815,34.0,28.0
Miami Marlins,2026,80,0.289,0.361,0.425,0.786,37.0,34.0
Texas Rangers,2026,52,0.272,0.337,0.444,0.781,23.0,23.0
Minnesota Twins,2026,61,0.267,0.333,0.443,0.776,24.0,37.0
Tampa Bay Rays,2026,62,0.289,0.343,0.427,0.77,30.0,25.0
Cleveland Guardians,2026,67,0.258,0.318,0.436,0.754,28.0,30.0
Los Angeles Dodgers,2026,54,0.261,0.343,0.408,0.751,23.0,27.0
St. Louis Cardinals,2026,63,0.25,0.324,0.423,0.746,35.0,31.0
Arizona Diamondbacks,2026,54,0.284,0.36,0.381,0.741,17.0,22.0
Philadelphia Phillies,2026,53,0.258,0.315,0.423,0.738,22.0,25.0
Houston Astros,2026,67,0.234,0.298,0.422,0.72,30.0,33.0
Milwaukee Brewers,2026,64,0.247,0.324,0.392,0.716,27.0,26.0
Boston Red Sox,2026,65,0.243,0.308,0.388,0.696,21.0,19.0
Baltimore Orioles,2026,69,0.235,0.297,0.399,0.696,41.0,28.0
Atlanta Braves,2026,57,0.237,0.312,0.381,0.693,23.0,27.0
Chicago White Sox,2026,66,0.22,0.284,0.408,0.692,34.0,33.0
Kansas City Royals,2026,72,0.251,0.316,0.374,0.69,26.0,27.0
Detroit Tigers,2026,58,0.213,0.282,0.404,0.686,19.0,24.0
Los Angeles Angels,2026,70,0.248,0.304,0.368,0.672,27.0,29.0
Cincinnati Reds,2026,61,0.207,0.257,0.413,0.67,23.0,33.0
New York Mets,2026,62,0.254,0.315,0.324,0.639,12.0,22.0
San Francisco Giants,2026,50,0.221,0.266,0.369,0.635,27.0,15.0
Toronto Blue Jays,2026,74,0.232,0.304,0.33,0.634,28.0,26.0
Pittsburgh Pirates,2026,65,0.22,0.3,0.298,0.599,27.0,25.0
Chicago Cubs,2026,63,0.165,0.272,0.326,0.598,29.0,23.0
Seattle Mariners,2026,57,0.189,0.268,0.319,0.587,28.0,20.0
Colorado Rockies,2026,70,0.18,0.253,0.254,0.507,17.0,24.0
Philadelphia Phillies,2025,56,0.301,0.357,0.514,0.87,37.0,28.0
New York Mets,2025,59,0.278,0.363,0.476,0.839,27.0,34.0
Toronto Blue Jays,2025,116,0.268,0.331,0.45,0.781,65.0,59.0
Detroit Tigers,2025,83,0.255,0.342,0.422,0.764,44.0,33.0
Pittsburgh Pirates,2025,74,0.283,0.338,0.425,0.763,28.0,27.0
Chicago White Sox,2025,80,0.259,0.317,0.437,0.754,44.0,29.0
Kansas City Royals,2025,76,0.253,0.304,0.433,0.737,26.0,35.0
Houston Astros,2025,49,0.248,0.299,0.438,0.737,14.0,21.0
Milwaukee Brewers,2025,94,0.259,0.304,0.432,0.736,51.0,45.0
Seattle Mariners,2025,78,0.231,0.288,0.446,0.734,39.0,37.0
Arizona Diamondbacks,2025,63,0.273,0.344,0.39,0.734,12.0,27.0
Miami Marlins,2025,94,0.255,0.326,0.401,0.728,43.0,43.0
Minnesota Twins,2025,71,0.219,0.291,0.433,0.725,26.0,34.0
Chicago Cubs,2025,85,0.249,0.333,0.386,0.719,33.0,39.0
Los Angeles Dodgers,2025,67,0.211,0.279,0.439,0.718,30.0,30.0
San Diego Padres,2025,52,0.257,0.339,0.374,0.713,17.0,29.0
Texas Rangers,2025,56,0.25,0.295,0.413,0.708,26.0,19.0
San Francisco Giants,2025,67,0.247,0.295,0.413,0.708,35.0,36.0
Colorado Rockies,2025,93,0.266,0.307,0.4,0.707,31.0,32.0
Baltimore Orioles,2025,83,0.239,0.316,0.386,0.702,29.0,33.0
Los Angeles Angels,2025,79,0.228,0.301,0.388,0.689,21.0,39.0
Boston Red Sox,2025,62,0.241,0.303,0.384,0.687,18.0,27.0
Athletics,2025,88,0.235,0.297,0.39,0.687,38.0,40.0
New York Yankees,2025,72,0.208,0.279,0.364,0.643,31.0,35.0
Cleveland Guardians,2025,82,0.2,0.264,0.329,0.594,23.0,31.0
Tampa Bay Rays,2025,74,0.212,0.246,0.346,0.591,30.0,26.0
Washington Nationals,2025,81,0.201,0.244,0.329,0.573,40.0,32.0
Cincinnati Reds,2025,78,0.199,0.252,0.318,0.57,22.0,27.0
Atlanta Braves,2025,67,0.205,0.27,0.29,0.561,24.0,24.0
St. Louis Cardinals,2025,90,0.182,0.26,0.253,0.513,31.0,29.0
Chicago Cubs,2024,33,0.264,0.336,0.427,0.763,15.0,17.0
Tampa Bay Rays,2024,34,0.25,0.295,0.403,0.699,11.0,19.0
Washington Nationals,2024,37,0.192,0.276,0.354,0.63,16.0,15.0
Athletics,2024,32,0.228,0.271,0.356,0.627,10.0,8.0
Milwaukee Brewers,2024,34,0.216,0.305,0.284,0.59,9.0,20.0
Los Angeles Dodgers,2023,148,0.264,0.357,0.494,0.851,91.0,85.0
Houston Astros,2023,134,0.269,0.33,0.496,0.826,89.0,77.0
Atlanta Braves,2023,137,0.264,0.331,0.475,0.806,72.0,76.0
Chicago Cubs,2023,148,0.27,0.335,0.469,0.803,84.0,92.0
Tampa Bay Rays,2023,174,0.271,0.325,0.454,0.779,89.0,85.0
Boston Red Sox,2023,140,0.26,0.339,0.438,0.778,71.0,68.0
Minnesota Twins,2023,155,0.241,0.32,0.452,0.773,69.0,79.0
Pittsburgh Pirates,2023,173,0.261,0.321,0.446,0.768,77.0,79.0
Cleveland Guardians,2023,167,0.273,0.336,0.412,0.748,59.0,91.0
Baltimore Orioles,2023,157,0.269,0.322,0.425,0.747,75.0,71.0
Colorado Rockies,2023,136,0.238,0.299,0.433,0.731,59.0,56.0
San Diego Padres,2023,138,0.244,0.323,0.402,0.724,64.0,57.0
Detroit Tigers,2023,148,0.245,0.315,0.408,0.723,51.0,61.0
Texas Rangers,2023,150,0.236,0.303,0.417,0.719,71.0,75.0
Philadelphia Phillies,2023,127,0.245,0.291,0.424,0.716,58.0,68.0
St. Louis Cardinals,2023,147,0.243,0.314,0.4,0.714,59.0,58.0
Cincinnati Reds,2023,158,0.239,0.318,0.389,0.706,64.0,77.0
Miami Marlins,2023,136,0.246,0.297,0.403,0.7,62.0,64.0
Milwaukee Brewers,2023,154,0.252,0.312,0.388,0.699,63.0,56.0
Toronto Blue Jays,2023,127,0.237,0.316,0.376,0.692,56.0,53.0
Arizona Diamondbacks,2023,168,0.242,0.312,0.378,0.69,62.0,61.0
Chicago White Sox,2023,153,0.24,0.284,0.398,0.682,70.0,54.0
Washington Nationals,2023,151,0.25,0.299,0.377,0.676,56.0,64.0
Kansas City Royals,2023,160,0.233,0.29,0.386,0.676,63.0,69.0
New York Mets,2023,150,0.216,0.282,0.386,0.669,52.0,54.0
Athletics,2023,188,0.218,0.271,0.387,0.658,75.0,68.0
Seattle Mariners,2023,139,0.223,0.278,0.376,0.654,48.0,65.0
Los Angeles Angels,2023,118,0.226,0.276,0.348,0.625,45.0,40.0
New York Yankees,2023,125,0.21,0.265,0.353,0.618,43.0,40.0
San Francisco Giants,2023,139,0.221,0.27,0.319,0.59,52.0,50.0
New York Yankees,2022,106,0.32,0.406,0.571,0.977,69.0,66.0
Chicago White Sox,2022,94,0.337,0.389,0.514,0.903,39.0,57.0
Atlanta Braves,2022,139,0.275,0.341,0.506,0.847,76.0,85.0
Houston Astros,2022,113,0.264,0.321,0.507,0.828,71.0,56.0
Los Angeles Dodgers,2022,127,0.264,0.306,0.516,0.822,60.0,70.0
New York Mets,2022,120,0.256,0.326,0.459,0.785,66.0,74.0
Washington Nationals,2022,137,0.271,0.342,0.439,0.781,64.0,60.0
Toronto Blue Jays,2022,124,0.286,0.351,0.43,0.781,54.0,56.0
Philadelphia Phillies,2022,139,0.266,0.325,0.446,0.772,70.0,67.0
Detroit Tigers,2022,116,0.279,0.313,0.434,0.747,47.0,60.0
Baltimore Orioles,2022,129,0.264,0.326,0.414,0.74,43.0,61.0
Colorado Rockies,2022,104,0.266,0.324,0.402,0.725,38.0,60.0
Milwaukee Brewers,2022,127,0.228,0.293,0.413,0.706,68.0,60.0
Arizona Diamondbacks,2022,133,0.243,0.307,0.397,0.705,45.0,53.0
Chicago Cubs,2022,118,0.239,0.299,0.404,0.703,46.0,52.0
Tampa Bay Rays,2022,142,0.243,0.315,0.373,0.688,50.0,64.0
Seattle Mariners,2022,135,0.253,0.317,0.367,0.684,45.0,63.0
San Diego Padres,2022,164,0.233,0.296,0.384,0.681,56.0,71.0
Miami Marlins,2022,132,0.236,0.28,0.397,0.677,49.0,50.0
Cleveland Guardians,2022,166,0.251,0.292,0.38,0.671,72.0,68.0
Kansas City Royals,2022,130,0.242,0.294,0.375,0.669,42.0,51.0
Minnesota Twins,2022,141,0.24,0.295,0.373,0.668,43.0,58.0
Los Angeles Angels,2022,146,0.243,0.302,0.362,0.664,46.0,54.0
Pittsburgh Pirates,2022,145,0.218,0.267,0.389,0.656,58.0,60.0
San Francisco Giants,2022,112,0.227,0.288,0.361,0.65,44.0,40.0
Cincinnati Reds,2022,112,0.216,0.278,0.371,0.65,45.0,42.0
Boston Red Sox,2022,109,0.213,0.266,0.354,0.621,40.0,48.0
Texas Rangers,2022,120,0.214,0.263,0.324,0.587,46.0,38.0
Athletics,2022,129,0.212,0.278,0.305,0.583,39.0,39.0
St. Louis Cardinals,2022,115,0.197,0.26,0.319,0.579,42.0,47.0
Houston Astros,2021,137,0.292,0.368,0.485,0.853,87.0,88.0
Cleveland Guardians,2021,160,0.256,0.317,0.461,0.778,80.0,70.0
Washington Nationals,2021,79,0.278,0.326,0.449,0.775,37.0,36.0
Atlanta Braves,2021,93,0.267,0.315,0.453,0.769,45.0,43.0
Tampa Bay Rays,2021,157,0.264,0.334,0.434,0.768,77.0,88.0
Kansas City Royals,2021,116,0.285,0.313,0.454,0.767,58.0,46.0
Minnesota Twins,2021,163,0.247,0.311,0.454,0.765,73.0,83.0
Arizona Diamondbacks,2021,96,0.277,0.33,0.435,0.765,36.0,36.0
St. Louis Cardinals,2021,112,0.224,0.287,0.467,0.754,58.0,49.0
Chicago Cubs,2021,102,0.268,0.323,0.43,0.753,43.0,41.0
Seattle Mariners,2021,166,0.246,0.32,0.426,0.746,86.0,58.0
San Diego Padres,2021,103,0.271,0.342,0.395,0.737,40.0,36.0
Los Angeles Angels,2021,132,0.263,0.303,0.429,0.732,62.0,63.0
Boston Red Sox,2021,151,0.248,0.299,0.433,0.732,70.0,63.0
Toronto Blue Jays,2021,156,0.265,0.305,0.418,0.723,75.0,64.0
Athletics,2021,129,0.239,0.309,0.414,0.723,47.0,60.0
New York Yankees,2021,140,0.244,0.323,0.393,0.716,50.0,64.0
Los Angeles Dodgers,2021,124,0.237,0.315,0.394,0.709,43.0,56.0
San Francisco Giants,2021,142,0.241,0.304,0.386,0.69,44.0,44.0
Philadelphia Phillies,2021,119,0.244,0.321,0.369,0.69,37.0,51.0
Baltimore Orioles,2021,148,0.236,0.282,0.407,0.688,71.0,61.0
New York Mets,2021,122,0.242,0.299,0.387,0.686,35.0,45.0
Chicago White Sox,2021,132,0.247,0.315,0.371,0.685,51.0,58.0
Milwaukee Brewers,2021,132,0.231,0.32,0.356,0.676,41.0,47.0
Miami Marlins,2021,97,0.241,0.293,0.376,0.67,32.0,24.0
Detroit Tigers,2021,144,0.214,0.29,0.361,0.651,52.0,58.0
Colorado Rockies,2021,111,0.204,0.27,0.379,0.649,38.0,41.0
Cincinnati Reds,2021,135,0.221,0.273,0.361,0.634,51.0,42.0
Pittsburgh Pirates,2021,120,0.234,0.286,0.345,0.631,33.0,25.0
Texas Rangers,2021,167,0.206,0.264,0.34,0.604,69.0,64.0
San Diego Padres,2020,55,0.279,0.333,0.523,0.857,31.0,32.0
Los Angeles Dodgers,2020,58,0.276,0.353,0.497,0.85,28.0,32.0
Tampa Bay Rays,2020,59,0.271,0.328,0.5,0.828,34.0,28.0
Toronto Blue Jays,2020,30,0.266,0.304,0.523,0.827,21.0,12.0
Minnesota Twins,2020,38,0.281,0.326,0.474,0.8,20.0,18.0
Los Angeles Angels,2020,40,0.273,0.353,0.424,0.777,18.0,22.0
Chicago White Sox,2020,45,0.255,0.298,0.472,0.77,25.0,15.0
Arizona Diamondbacks,2020,30,0.255,0.336,0.415,0.751,12.0,12.0
Boston Red Sox,2020,36,0.235,0.273,0.47,0.742,18.0,17.0
Philadelphia Phillies,2020,36,0.245,0.403,0.321,0.724,7.0,17.0
Chicago Cubs,2020,36,0.234,0.303,0.414,0.718,14.0,11.0
Detroit Tigers,2020,33,0.226,0.287,0.425,0.711,22.0,12.0
Houston Astros,2020,35,0.226,0.304,0.395,0.7,16.0,18.0
Pittsburgh Pirates,2020,46,0.228,0.282,0.411,0.694,21.0,24.0
Colorado Rockies,2020,36,0.219,0.276,0.412,0.689,15.0,16.0
New York Yankees,2020,39,0.189,0.277,0.393,0.671,23.0,18.0
Kansas City Royals,2020,35,0.24,0.324,0.344,0.668,9.0,10.0
San Francisco Giants,2020,31,0.212,0.291,0.343,0.634,16.0,18.0
Washington Nationals,2020,31,0.2,0.276,0.347,0.624,7.0,12.0
Cincinnati Reds,2020,38,0.214,0.285,0.339,0.624,13.0,16.0
Miami Marlins,2020,31,0.219,0.261,0.314,0.576,11.0,9.0
Baltimore Orioles,2020,44,0.203,0.253,0.291,0.544,12.0,15.0
Athletics,2020,37,0.149,0.231,0.306,0.537,10.0,11.0
Milwaukee Brewers,2020,34,0.176,0.25,0.245,0.495,5.0,8.0
Seattle Mariners,2020,46,0.148,0.224,0.265,0.488,13.0,13.0
Atlanta Braves,2020,38,0.188,0.241,0.234,0.475,8.0,21.0
Texas Rangers,2020,36,0.143,0.221,0.252,0.473,14.0,15.0
Cleveland Guardians,2020,32,0.126,0.202,0.179,0.381,6.0,7.0
