game_id,game_pk,game_date,season,game_type,status,home_team,away_team,home_score,away_score,venue_name,weather_condition,weather_temp,wind,attendance,game_duration_minutes,home_at_bats,home_runs,home_hits,home_doubles,home_triples,home_home_runs,home_rbi,home_walks,home_strikeouts,home_stolen_bases,away_at_bats,away_runs,away_hits,away_doubles,away_triples,away_home_runs,away_rbi,away_walks,away_strikeouts,away_stolen_bases,home_innings_pitched,home_hits_allowed,home_runs_allowed,home_earned_runs,home_pitching_walks,home_pitching_strikeouts,home_home_runs_allowed,away_innings_pitched,away_hits_allowed,away_runs_allowed,away_earned_runs,away_pitching_walks,away_pitching_strikeouts,away_home_runs_allowed
6241,634615,2021-04-01,2021,R,Final,Colorado Rockies,Los Angeles Dodgers,8,5,Coors Field,,,,,,35,8,11,1,1,0,5,3,4,2,36,5,15,3,1,0,5,8,6,0,9.0,15,5,5,8,6,0,6.6000000000000005,11,8,7,3,4,0
6242,634618,2021-04-01,2021,R,Final,San Diego Padres,Arizona Diamondbacks,8,7,Petco Park,,,,,,32,8,10,1,1,2,8,5,10,0,40,7,12,3,0,4,7,1,12,0,8.3,12,7,4,1,12,4,7.3,10,8,8,5,10,2
6240,634622,2021-04-01,2021,R,Final,Philadelphia Phillies,Atlanta Braves,3,2,Citizens Bank Park,,,,,,36,3,9,2,0,0,3,4,13,1,37,2,7,2,0,1,2,2,10,0,9.3,7,2,2,2,10,1,9.2,9,3,2,4,13,0
6248,634625,2021-04-01,2021,R,Final,Seattle Mariners,San Francisco Giants,8,7,T-Mobile Park,,,,,,32,8,5,3,0,0,7,9,9,0,39,7,10,3,0,4,6,4,7,0,10.0,10,7,6,4,7,4,7.6000000000000005,5,8,6,9,9,0
6244,634630,2021-04-01,2021,R,Final,Kansas City Royals,Texas Rangers,14,10,Kauffman Stadium,,,,,,38,14,15,0,0,3,13,8,8,0,40,10,15,3,0,0,9,9,16,1,6.9,15,10,9,9,16,0,7.3,15,14,14,8,8,3
6239,634634,2021-04-01,2021,R,Final,Chicago Cubs,Pittsburgh Pirates,3,5,Wrigley Field,,,,,,26,3,2,2,0,0,3,4,13,1,35,5,9,2,0,1,5,11,10,3,6.9,9,5,5,11,10,1,9.0,2,3,2,4,13,0
6243,634636,2021-04-01,2021,R,Final,Cincinnati Reds,St. Louis Cardinals,6,11,Great American Ball Park,,,,,,34,6,10,3,0,2,5,5,8,0,37,11,10,2,0,2,9,3,7,0,8.3,10,11,9,3,7,2,8.299999999999999,10,6,6,5,8,2
6238,634638,2021-04-01,2021,R,Final,Milwaukee Brewers,Minnesota Twins,6,5,American Family Field,,,,,,40,6,11,1,0,0,6,2,9,0,39,5,10,2,1,1,4,7,17,1,10.0,10,5,5,7,17,1,8.299999999999999,11,6,1,2,9,0
6247,634640,2021-04-01,2021,R,Final,Athletics,Houston Astros,1,8,Oakland Coliseum,,,,,,30,1,6,2,0,0,1,3,10,1,33,8,9,3,0,2,7,6,5,0,7.6,9,8,8,6,5,2,8.3,6,1,0,3,10,0
6236,634642,2021-04-01,2021,R,Final,New York Yankees,Toronto Blue Jays,2,3,Yankee Stadium,,,,,,35,2,6,0,0,1,2,6,13,2,36,3,8,1,0,1,3,2,13,0,9.299999999999999,8,3,2,2,13,1,9.299999999999999,6,2,2,6,13,1
